By village - cases over time,,,,,Y1,,,,Y2,,,,Y3,,,,Y4,,,,Y5,,,,Y6,,,,Y7,,,,Y8,,,,Y9,,,,Y10,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,,R0 base,R0 Y1-Y3,R0 Y4-Y10,VC applied? ,VC effectiveness Y1-Y3,VC effectiveness Y4-Y10,AS attendance Y1-Y3,AS attendance Y4-Y10
27,12,10,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.75,2.75,2.75,0,0%,0%,71%,78%
28,6,5,8,8,10,10,9,9,11,13,14,16,13,15,18,20,14,16,12,14,6,7,8,10,4,3,4,4,1,2,3,3,3,5,6,7,3,3,4,6,6,,3.83,3.83,3.83,0,0%,0%,24%,60%
29,12,8,8,11,12,5,5,8,10,5,4,6,9,5,7,6,9,4,4,4,3,3,3,4,5,3,3,5,6,2,2,4,3,1,1,1,0,0,0,0,0,,3.70,3.70,3.70,0,0%,0%,64%,65%
30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.60,0.44,0.13,1,88%,96%,71%,86%
31,14,12,13,2,3,3,4,1,2,1,1,1,1,0,0,0,1,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.98,0.75,0.57,1,85%,89%,63%,86%
32,12,12,11,11,10,11,10,12,7,7,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,,3.04,0.38,0.15,1,88%,95%,28%,53%
33,5,3,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.13,0.19,0.09,1,96%,98%,73%,89%
34,15,11,5,4,4,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.26,0.45,0.37,1,86%,89%,67%,80%
35,17,13,9,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.65,2.07,1.04,1,63%,82%,82%,91%
36,6,6,5,5,4,6,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.63,3.63,3.63,0,0%,0%,80%,83%
37,14,6,6,5,5,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.86,0.99,0.48,1,74%,88%,80%,89%
38,15,11,2,4,4,5,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.34,1.44,0.69,1,67%,84%,90%,99%
39,11,10,11,6,5,5,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.96,0.58,0.18,1,80%,94%,39%,88%
40,13,12,12,12,8,7,8,9,4,4,5,4,3,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.20,0.88,0.57,1,83%,89%,49%,88%
41,10,4,4,4,2,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.67,0.38,0.30,1,77%,82%,75%,89%
42,14,12,5,4,3,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.22,0.95,0.91,1,82%,83%,51%,55%
43,6,5,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.28,4.28,4.28,0,0%,0%,89%,95%
44,12,11,15,19,9,11,10,10,5,4,5,4,3,4,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,3.26,3.26,3.26,0,0%,0%,79%,80%
45,8,3,3,3,5,4,4,6,8,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.26,1.84,1.22,1,57%,71%,72%,80%
46,1,1,1,1,1,1,1,2,2,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.61,1.28,0.08,1,72%,98%,40%,59%
47,9,9,7,4,3,4,5,5,5,4,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.82,0.76,0.74,1,84%,85%,45%,94%
48,7,6,6,7,2,1,2,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4.99,2.87,2.22,1,42%,55%,67%,90%
49,11,4,3,3,3,3,2,3,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.83,0.55,0.08,1,86%,98%,27%,73%
50,13,12,6,8,9,10,4,5,5,4,2,2,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.83,0.82,0.82,1,79%,79%,58%,67%
51,13,10,10,4,3,4,3,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.11,0.88,0.55,1,72%,82%,58%,91%
